dkw-h0162	15
dkw-h0163	19
dkw-h0164	10
dkw-h0165	11
dkw-h0166	16
dkw-h0167	18
dkw-h0168	8
dkw-h0169	9
dkw-h0170	19
dkw-h0171	7
dkw-h0172	8
dkw-h0173	9
dkw-h0174	14
dkw-h0175	14
dkw-h0176	16
dkw-h0177	12
dkw-h0178	13
dkw-h0179	7
dkw-h0180	6
dkw-h0181	9
dkw-h0182	8
dkw-h0183	9
dkw-h0184	9
dkw-h0185	10
dkw-h0186	11
dkw-h0187	12
dkw-h0188	14
dkw-h0189	14
dkw-h0190	15
dkw-h0191	18
dkw-h0192	19
dkw-h0193	20
dkw-h0194	11
dkw-h0195	12
dkw-h0196	17
dkw-h0197	19
dkw-h0198	21
dkw-h0199	12
dkw-h0200	6
dkw-h0201	6
dkw-h0202	8
dkw-h0203	9
dkw-h0204	9
dkw-h0205	11
dkw-h0206	11
dkw-h0207	11
dkw-h0208	11
dkw-h0209	13
dkw-h0210	12
dkw-h0211	12
dkw-h0212	12
dkw-h0213	13
dkw-h0214	14
dkw-h0215	14
dkw-h0216	15
dkw-h0217	16
dkw-h0218	17
dkw-h0219	7
dkw-h0220	9
dkw-h0221	11
dkw-h0222	13
dkw-h0223	14
dkw-h0224	14
dkw-h0225	15
dkw-h0226	16
dkw-h0227	18
dkw-h0228	20
dkw-h0229	16
dkw-h0230	6
dkw-h0231	7
dkw-h0232	8
dkw-h0233	9
dkw-h0234	10
dkw-h0235	11
dkw-h0236	12
dkw-h0237	12
dkw-h0238	13
dkw-h0239	16
dkw-h0240	16
dkw-h0241	20
dkw-h0242	22
dkw-h0243	10
dkw-h0244	11
dkw-h0245	12
dkw-h0246	8
dkw-h0247	15
dkw-h0248	6
dkw-h0249	7
dkw-h0250	7
dkw-h0251	8
dkw-h0252	8
dkw-h0253	8
dkw-h0254	10
dkw-h0255	10
dkw-h0256	10
dkw-h0257	11
dkw-h0258	11
dkw-h0259	12
dkw-h0260	12
dkw-h0261	12
dkw-h0262	12
dkw-h0263	12
dkw-h0264	12
dkw-h0265	12
dkw-h0266	12
dkw-h0267	13
dkw-h0268	13
dkw-h0269	14
dkw-h0270	14
dkw-h0271	14
dkw-h0272	14
dkw-h0273	14
dkw-h0274	14
dkw-h0275	15
dkw-h0276	16
dkw-h0277	16
dkw-h0278	16
dkw-h0279	17
dkw-h0280	17
dkw-h0281	19
dkw-h0282	19
dkw-h0283	19
dkw-h0284	19
dkw-h0285	21
dkw-h0286	24
dkw-h0287	18
dkw-h0288	8
dkw-h0289	6
dkw-h0290	12
dkw-h0291	19
dkw-h0292	12
dkw-h0293	13
dkw-h0294	13
dkw-h0295	14
dkw-h0296	14
dkw-h0297	22
dkw-h0298	9
dkw-h0299	6
dkw-h0300	9
dkw-h0301	9
dkw-h0302	10
dkw-h0303	10
dkw-h0304	10
dkw-h0305	10
dkw-h0306	10
dkw-h0307	11
dkw-h0308	11
dkw-h0309	11
dkw-h0310	12
dkw-h0311	12
dkw-h0312	12
dkw-h0313	13
dkw-h0314	15
dkw-h0315	15
dkw-h0316	15
dkw-h0317	16
dkw-h0318	17
dkw-h0319	17
dkw-h0320	18
dkw-h0321	21
dkw-h0322	22
dkw-h0323	24
dkw-h0324	9
dkw-h0325	10
dkw-h0326	11
dkw-h0327	11
dkw-h0328	14
dkw-h0329	14
dkw-h0330	15
dkw-h0331	16
dkw-h0332	20
dkw-h0333	20
dkw-h0334	12
dkw-h0335	15
dkw-h0336	10
dkw-h0337	12
dkw-h0338	11
dkw-h0339	12
dkw-h0340	13
dkw-h0341	13
dkw-h0342	15
dkw-h0343	15
dkw-h0344	11
dkw-h0345	14
dkw-h0346	20
dkw-h0347	7
dkw-h0348	11
dkw-h0349	11
dkw-h0350	12
dkw-h0351	12
dkw-h0352	16
dkw-h0353	17
dkw-h0354	18
dkw-h0355	21
dkw-h0356	12
dkw-h0357	13
dkw-h0358	16
dkw-h0359	17
dkw-h0360	17
dkw-h0361	17
dkw-h0362	21
dkw-h0363	21
dkw-h0364	12
dkw-h0365	7
dkw-h0366	10
dkw-h0367	14
dkw-h0368	15
dkw-h0369	17
dkw-h0370	20
dkw-h0371	11
dkw-h0372	12
dkw-h0373	13
dkw-h0374	15
dkw-h0375	18
dkw-h0376	24
dkw-h0377	29
dkw-h0378	12
dkw-h0379	13
dkw-h0380	13
dkw-h0381	13
dkw-h0382	10
dkw-h0383	10
dkw-h0384	10
dkw-h0385	11
dkw-h0386	13
dkw-h0387	13
dkw-h0388	13
dkw-h0389	16
dkw-h0390	16
dkw-h0391	16
dkw-h0392	20
dkw-h0393	7
dkw-h0394	7
dkw-h0395	9
dkw-h0396	9
dkw-h0397	9
dkw-h0398	9
dkw-h0399	9
dkw-h0400	9
dkw-h0401	10
dkw-h0402	11
dkw-h0403	12
dkw-h0404	11
dkw-h0405	13
dkw-h0406	13
dkw-h0407	13
dkw-h0408	14
dkw-h0409	17
dkw-h0410	18
dkw-h0411	23
dkw-h0412	24
dkw-h0413	28
dkw-h0414	8
dkw-h0415	10
dkw-h0416	10
dkw-h0417	10
dkw-h0418	10
dkw-h0419	11
dkw-h0420	11
dkw-h0421	11
