dkw-00186 koseki-002260 u200e7 _ ##done:koseki 
dkw-00187 koseki-002290 u4e71 _ ##done:koseki 
dkw-00188 koseki-002300 u3416 _ ##done:koseki 
dkw-00189 koseki-002310 u209dd _ ##done:koseki 
dkw-00190 koseki-002320 u4e73-ue0103 _ ##done:koseki 
dkw-00191 koseki-002330 u4e74 _ ##done:alias:u4e74 
dkw-00192 koseki-002340 u4e75 _ ##done:original 
dkw-00193 koseki-002350 u200ed _ ##done:koseki 
dkw-00194 koseki-002370 u4e79 _ ##done:koseki 𠦝[u2099d]
dkw-00195 koseki-002380 u341c _ ##done:koseki 
dkw-00196 koseki-002390 u200f2 _ ##done:koseki 
dkw-00197 koseki-002400 u200f3 _ ##done:koseki 
dkw-00198 koseki-002410 u200f6 _ ##done:koseki 
dkw-00199 koseki-002420 u200b8 _ ##done:alias:u200b8 
dkw-00200 koseki-002430 u2c1d0 _ ##done:koseki 
dkw-00201 koseki-002440 u200fa _ ##done:koseki 首[u9996]
dkw-00202 koseki-002450 u24c61 _ ##done:koseki 
dkw-00203 none u200f8 _ ##done:alias:u200f8-jv 
dkw-00204 koseki-002460 u4e7e _ ##done:koseki 𠦝[u2099d]
dkw-00205 koseki-002470 u4e7f _ ##done:koseki 
dkw-00206 koseki-002480 u200fc _ ##done:koseki 
dkw-00207 koseki-002490 u200fd _ ##done:koseki 
dkw-00208 koseki-002500 u3421 _ ##done:alias:u3421 
dkw-00209 koseki-002510 u200fe _ ##done:koseki 
dkw-00210 koseki-002520 u4e80 _ ##done:koseki 
dkw-00211 koseki-002530 u3424 _ ##done:alias:u3424-jv 眞[u771e]
dkw-00212 koseki-002540 u25740 _ ##done:koseki 禹[u79b9]
dkw-00213 koseki-002550 u4e81 _ ##done:koseki 旱[u65f1]
dkw-00214 koseki-002560 u4e82 _ ##done:koseki 𤔔[u24514]
dkw-00215 koseki-002570 u4e83 _ ##done:koseki 
dkw-00216 koseki-002590 u4e84 _ ##done:koseki 
dkw-00217 koseki-002580 u20104 _ ##done:alias:u20104 日[u65e5]
dkw-00218 koseki-002600 u20105 _ ##done:koseki 
dkw-00219 koseki-002610 u20107 _ ##done:koseki 
dkw-00220 koseki-002620 u20108 _ ##done:koseki 
dkw-00221 koseki-002630 u20109 _ ##done:koseki 
dkw-00222 koseki-002640 u2010a _ ##done:alias:u2010a-jv 日[u65e5]
dkw-00223 koseki-002650 u2010b _ ##done:koseki 日[u65e5]
dkw-00224 koseki-002660 u4e85 _ ##done:koseki 
dkw-00225 koseki-002670 u2010c _ ##done:koseki 
dkw-00226 koseki-002690 u4e86 _ ##done:koseki 
dkw-00227 koseki-002700 u2010d _ ##done:koseki 
